Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617138000.0 136.753 NA 174 NA NA 577 NA NA 994 NA NA 932 NA
1617138000.0 136.754 NA 181 NA NA 585 NA NA 946 NA NA 562 NA
1617138000.0 136.755 NA 173 NA NA 581 NA NA 929 NA NA 866 NA
1617138000.0 136.756 NA 174 NA NA 581 NA NA 913 NA NA 877 NA
1617138000.0 136.757 NA 175 NA NA 572 NA NA 1167 NA NA 1076 NA
1617138000.0 136.758 NA 174 NA NA 582 NA NA 892 NA NA 601 NA
1617138000.0 136.759 NA 180 NA NA 582 NA NA 870 NA NA 928 NA
1617138000.0 136.76 NA 178 NA NA 582 NA NA 944 NA NA 830 NA
1617138000.0 136.761 NA 174 NA NA 570 NA NA 944 NA NA 999 NA
1617138000.0 136.762 NA 174 NA NA 582 NA NA 1117 NA NA 1322 NA
1617138000.0 136.763 NA 180 NA NA 575 NA NA 962 NA NA 627 NA
1617138000.0 136.764 NA 172 NA NA 580 NA NA 916 NA NA 734 NA
1617138000.0 136.765 NA 172 NA NA 582 NA NA 976 NA NA 1010 NA
1617138000.0 136.766 NA 243 NA NA 577 NA NA 876 NA NA 483 NA
1617138000.0 136.767 NA 251 NA NA 579 NA NA 835 NA NA 517 NA
1617138000.0 136.768 NA 177 NA NA 582 NA NA 995 NA NA 547 NA
1617138000.0 136.769 NA 172 NA NA 573 NA NA 918 NA NA 907 NA
1617138000.0 136.77 NA 173 NA NA 580 NA NA 914 NA NA 698 NA
1617138000.0 136.771 NA 171 NA NA 575 NA NA 933 NA NA 980 NA
1617138000.0 136.772 NA 175 NA NA 583 NA NA 939 NA NA 587 NA
1617138000.0 136.773 NA 173 NA NA 580 NA NA 987 NA NA 1042 NA
1617138000.0 136.774 NA 176 NA NA 581 NA NA 1003 NA NA 609 NA
1617138000.0 136.775 NA 172 NA NA 581 NA NA 841 NA NA 955 NA
1617138000.0 136.776 NA 245 NA NA 581 NA NA 869 NA NA 481 NA
1617138000.0 136.777 NA 174 NA NA 578 NA NA 847 NA NA 590 NA
1617138000.0 136.778 NA 174 NA NA 571 NA NA 855 NA NA 722 NA
1617138000.0 136.779 NA 178 NA NA 579 NA NA 991 NA NA 615 NA
1617138000.0 136.78 NA 234 NA NA 599 NA NA 906 NA NA 501 NA
1617138000.0 136.781 NA 272 NA NA 587 NA NA 827 NA NA 460 NA
1617138000.0 136.782 NA 191 NA NA 601 NA NA 1073 NA NA 769 NA
1617138000.0 136.783 NA 196 NA NA 590 NA NA 1061 NA NA 896 NA
1617138000.0 136.784 NA 198 NA NA 586 NA NA 896 NA NA 583 NA
1617138000.0 136.785 NA 195 NA NA 595 NA NA 1017 NA NA 1038 NA
1617138000.0 136.786 NA 196 NA NA 599 NA NA 867 NA NA 774 NA
1617138000.0 136.787 NA 196 NA NA 597 NA NA 987 NA NA 1087 NA
1617138000.0 136.788 NA 195 NA NA 595 NA NA 922 NA NA 797 NA
1617138000.0 136.789 NA 193 NA NA 596 NA NA 888 NA NA 642 NA
1617138000.0 136.79 NA 276 NA NA 595 NA NA 936 NA NA 557 NA
1617138000.0 136.791 NA 197 NA NA 591 NA NA 912 NA NA 500 NA
1617138000.0 136.792 NA 267 NA NA 596 NA NA 932 NA NA 529 NA
1617138000.0 136.793 NA 193 NA NA 599 NA NA 872 NA NA 898 NA
1617138000.0 136.794 NA 204 NA NA 598 NA NA 978 NA NA 570 NA
1617138000.0 136.795 NA 198 NA NA 600 NA NA 892 NA NA 682 NA
1617138000.0 136.796 NA 198 NA NA 597 NA NA 867 NA NA 531 NA
1617138000.0 136.797 NA 197 NA NA 595 NA NA 1064 NA NA 1027 NA
1617138000.0 136.798 NA 194 NA NA 598 NA NA 947 NA NA 1052 NA
1617138000.0 136.799 NA 193 NA NA 602 NA NA 927 NA NA 985 NA
1617138000.0 136.8 NA 200 NA NA 597 NA NA 861 NA NA 812 NA
1617138000.0 136.801 NA 195 NA NA 590 NA NA 847 NA NA 909 NA
1617138000.0 136.802 NA 200 NA NA 602 NA NA 928 NA NA 841 NA
1617138000.0 136.803 NA 201 NA NA 588 NA NA 949 NA NA 772 NA
1617138000.0 136.804 NA 196 NA NA 602 NA NA 1213 NA NA 1115 NA
1617138000.0 136.805 NA 239 NA NA 598 NA NA 1108 NA NA 1826 NA
1617138000.0 136.806 NA 263 NA NA 599 NA NA 1022 NA NA 595 NA
